Country,Date,ConfirmedCases,NewCases
Afghanistan,22/01/2020,0,0
Albania,22/01/2020,0,0
Algeria,22/01/2020,0,0
Andorra,22/01/2020,0,0
Angola,22/01/2020,0,0
Antigua and Barbuda,22/01/2020,0,0
Argentina,22/01/2020,0,0
Armenia,22/01/2020,0,0
Australia,22/01/2020,0,0
Austria,22/01/2020,0,0
Azerbaijan,22/01/2020,0,0
Bahamas,22/01/2020,0,0
Bahrain,22/01/2020,0,0
Bangladesh,22/01/2020,0,0
Barbados,22/01/2020,0,0
Belarus,22/01/2020,0,0
Belgium,22/01/2020,0,0
Belize,22/01/2020,0,0
Benin,22/01/2020,0,0
Bhutan,22/01/2020,0,0
Bolivia,22/01/2020,0,0
Bosnia and Herzegovina,22/01/2020,0,0
Botswana,22/01/2020,0,0
Brazil,22/01/2020,0,0
Brunei,22/01/2020,0,0
Bulgaria,22/01/2020,0,0
Burkina Faso,22/01/2020,0,0
Burma,22/01/2020,0,0
Burundi,22/01/2020,0,0
Cabo Verde,22/01/2020,0,0
Cambodia,22/01/2020,0,0
Cameroon,22/01/2020,0,0
Canada,22/01/2020,0,0
Central African Republic,22/01/2020,0,0
Chad,22/01/2020,0,0
Chile,22/01/2020,0,0
China,22/01/2020,548,548
Colombia,22/01/2020,0,0
Comoros,22/01/2020,0,0
Congo (Brazzaville),22/01/2020,0,0
Congo (Kinshasa),22/01/2020,0,0
Costa Rica,22/01/2020,0,0
Cote d'Ivoire,22/01/2020,0,0
Croatia,22/01/2020,0,0
Cuba,22/01/2020,0,0
Cyprus,22/01/2020,0,0
Czechia,22/01/2020,0,0
Denmark,22/01/2020,0,0
Diamond Princess,22/01/2020,0,0
Djibouti,22/01/2020,0,0
Dominica,22/01/2020,0,0
Dominican Republic,22/01/2020,0,0
Ecuador,22/01/2020,0,0
Egypt,22/01/2020,0,0
El Salvador,22/01/2020,0,0
Equatorial Guinea,22/01/2020,0,0
Eritrea,22/01/2020,0,0
Estonia,22/01/2020,0,0
Eswatini,22/01/2020,0,0
Ethiopia,22/01/2020,0,0
Fiji,22/01/2020,0,0
Finland,22/01/2020,0,0
France,22/01/2020,0,0
Gabon,22/01/2020,0,0
Gambia,22/01/2020,0,0
Georgia,22/01/2020,0,0
Germany,22/01/2020,0,0
Ghana,22/01/2020,0,0
Greece,22/01/2020,0,0
Grenada,22/01/2020,0,0
Guatemala,22/01/2020,0,0
Guinea,22/01/2020,0,0
Guinea-Bissau,22/01/2020,0,0
Guyana,22/01/2020,0,0
Haiti,22/01/2020,0,0
Holy See,22/01/2020,0,0
Honduras,22/01/2020,0,0
Hungary,22/01/2020,0,0
Iceland,22/01/2020,0,0
India,22/01/2020,0,0
Indonesia,22/01/2020,0,0
Iran,22/01/2020,0,0
Iraq,22/01/2020,0,0
Ireland,22/01/2020,0,0
Israel,22/01/2020,0,0
Italy,22/01/2020,0,0
Jamaica,22/01/2020,0,0
Japan,22/01/2020,2,2
Jordan,22/01/2020,0,0
Kazakhstan,22/01/2020,0,0
Kenya,22/01/2020,0,0
Kiribati,22/01/2020,0,0
"Korea, South",22/01/2020,1,1
Kosovo,22/01/2020,0,0
Kuwait,22/01/2020,0,0
Kyrgyzstan,22/01/2020,0,0
Laos,22/01/2020,0,0
Latvia,22/01/2020,0,0
Lebanon,22/01/2020,0,0
Lesotho,22/01/2020,0,0
Liberia,22/01/2020,0,0
Libya,22/01/2020,0,0
Liechtenstein,22/01/2020,0,0
Lithuania,22/01/2020,0,0
Luxembourg,22/01/2020,0,0
Madagascar,22/01/2020,0,0
Malawi,22/01/2020,0,0
Malaysia,22/01/2020,0,0
Maldives,22/01/2020,0,0
Mali,22/01/2020,0,0
Malta,22/01/2020,0,0
Marshall Islands,22/01/2020,0,0
Mauritania,22/01/2020,0,0
Mauritius,22/01/2020,0,0
Mexico,22/01/2020,0,0
Micronesia,22/01/2020,0,0
Moldova,22/01/2020,0,0
Monaco,22/01/2020,0,0
Mongolia,22/01/2020,0,0
Montenegro,22/01/2020,0,0
Morocco,22/01/2020,0,0
Mozambique,22/01/2020,0,0
MS Zaandam,22/01/2020,0,0
Namibia,22/01/2020,0,0
Nepal,22/01/2020,0,0
Netherlands,22/01/2020,0,0
New Zealand,22/01/2020,0,0
